id,status,Name,E-mail,Date to return
67,Available,Not Applicable,Not Applicable,
68,Taken,Lisa Douglas,Lisa.Douglas@lehigh.edu,2023-02-21
69,Taken,Jennifer Martinez,Jennifer.Martinez@lehigh.edu,2023-01-28
70,Available,Not Applicable,Not Applicable,
71,Taken,Jeffrey Dorsey,Jeffrey.Dorsey@lehigh.edu,2023-02-02
72,Available,Not Applicable,Not Applicable,
73,Taken,Mason Green,Mason.Green@lehigh.edu,2023-02-11
74,Taken,Abigail Marquez,Abigail.Marquez@lehigh.edu,2023-02-11
75,Available,Not Applicable,Not Applicable,
76,Taken,Amy Reynolds,Amy.Reynolds@lehigh.edu,2023-02-27
77,Available,Not Applicable,Not Applicable,
78,Taken,Tommy Abbott,Tommy.Abbott@lehigh.edu,2023-02-14
79,Taken,Gregory Meyers,Gregory.Meyers@lehigh.edu,2023-02-02
80,Taken,James Collins,James.Collins@lehigh.edu,2023-02-01
81,Taken,Timothy Dixon,Timothy.Dixon@lehigh.edu,2023-02-04
82,Available,Not Applicable,Not Applicable,
83,Available,Not Applicable,Not Applicable,
84,Taken,Erica Richardson,Erica.Richardson@lehigh.edu,2023-02-04
85,Available,Not Applicable,Not Applicable,
86,Taken,Shawn Ibarra,Shawn.Ibarra@lehigh.edu,2023-02-15
87,Taken,Michael Gray,Michael.Gray@lehigh.edu,2023-01-30
88,Available,Not Applicable,Not Applicable,
89,Available,Not Applicable,Not Applicable,
90,Taken,Patrick Hutchinson,Patrick.Hutchinson@lehigh.edu,2023-02-22
91,Available,Not Applicable,Not Applicable,
92,Available,Not Applicable,Not Applicable,
93,Available,Not Applicable,Not Applicable,
94,Available,Not Applicable,Not Applicable,
95,Taken,Catherine Hughes,Catherine.Hughes@lehigh.edu,2023-01-28
96,Available,Not Applicable,Not Applicable,
97,Taken,Christopher Johnson,Christopher.Johnson@lehigh.edu,2023-02-04
98,Available,Not Applicable,Not Applicable,
99,Available,Not Applicable,Not Applicable,
100,Available,Not Applicable,Not Applicable,
101,Taken,Gabrielle Raymond,Gabrielle.Raymond@lehigh.edu,2023-02-26
102,Taken,Mark Hamilton,Mark.Hamilton@lehigh.edu,2023-02-12
103,Taken,Brandon Dillon,Brandon.Dillon@lehigh.edu,2023-02-16
104,Available,Not Applicable,Not Applicable,
105,Taken,Heather Garcia,Heather.Garcia@lehigh.edu,2023-01-30
106,Taken,Lori Jones,Lori.Jones@lehigh.edu,2023-01-28
107,Available,Not Applicable,Not Applicable,
108,Available,Not Applicable,Not Applicable,
109,Available,Not Applicable,Not Applicable,
110,Available,Not Applicable,Not Applicable,
111,Taken,Ashley Robinson,Ashley.Robinson@lehigh.edu,2023-01-29
112,Taken,Linda Moss,Linda.Moss@lehigh.edu,2023-02-03
113,Available,Not Applicable,Not Applicable,
114,Available,Not Applicable,Not Applicable,
115,Available,Not Applicable,Not Applicable,
116,Taken,David Morgan,David.Morgan@lehigh.edu,2023-02-13
117,Taken,Rachael Taylor,Rachael.Taylor@lehigh.edu,2023-02-05
118,Taken,Robert Smith,Robert.Smith@lehigh.edu,2023-02-05
119,Taken,Kimberly Webster,Kimberly.Webster@lehigh.edu,2023-02-22
120,Available,Not Applicable,Not Applicable,
121,Taken,John Johnson,John.Johnson@lehigh.edu,2023-02-26
122,Available,Not Applicable,Not Applicable,
123,Taken,Lindsay Bryant,Lindsay.Bryant@lehigh.edu,2023-02-20
124,Taken,Jenna Escobar,Jenna.Escobar@lehigh.edu,2023-02-19
125,Available,Not Applicable,Not Applicable,
126,Available,Not Applicable,Not Applicable,
127,Available,Not Applicable,Not Applicable,
128,Taken,Jennifer Williams,Jennifer.Williams@lehigh.edu,2023-02-19
129,Taken,Troy Briggs,Troy.Briggs@lehigh.edu,2023-02-21
130,Available,Not Applicable,Not Applicable,
131,Taken,Jeffrey Harrison,Jeffrey.Harrison@lehigh.edu,2023-02-14
132,Taken,Robert Randall,Robert.Randall@lehigh.edu,2023-02-15
133,Available,Not Applicable,Not Applicable,
134,Taken,Elizabeth Espinoza,Elizabeth.Espinoza@lehigh.edu,2023-02-04
135,Available,Not Applicable,Not Applicable,
136,Taken,Nicole Love,Nicole.Love@lehigh.edu,2023-02-24
137,Taken,Christopher Patrick,Christopher.Patrick@lehigh.edu,2023-02-10
138,Taken,Jordan Kelly,Jordan.Kelly@lehigh.edu,2023-02-05
139,Taken,Austin Sloan,Austin.Sloan@lehigh.edu,2023-02-26
140,Available,Not Applicable,Not Applicable,
141,Available,Not Applicable,Not Applicable,
142,Taken,Amber Wang,Amber.Wang@lehigh.edu,2023-02-19
143,Available,Not Applicable,Not Applicable,
144,Available,Not Applicable,Not Applicable,
145,Taken,Crystal Hickman,Crystal.Hickman@lehigh.edu,2023-02-22
146,Taken,Jason Buchanan,Jason.Buchanan@lehigh.edu,2023-02-06
147,Taken,Kristopher Tyler,Kristopher.Tyler@lehigh.edu,2023-02-02
148,Taken,Cheryl Warner,Cheryl.Warner@lehigh.edu,2023-02-20
149,Taken,Veronica White,Veronica.White@lehigh.edu,2023-02-20
150,Available,Not Applicable,Not Applicable,
151,Available,Not Applicable,Not Applicable,
152,Taken,Kristy Brown,Kristy.Brown@lehigh.edu,2023-02-21
153,Available,Not Applicable,Not Applicable,
154,Available,Not Applicable,Not Applicable,
155,Taken,William Hardy,William.Hardy@lehigh.edu,2023-01-31
156,Taken,Carol Gray,Carol.Gray@lehigh.edu,2023-02-26
157,Available,Not Applicable,Not Applicable,
158,Taken,James Smith,James.Smith@lehigh.edu,2023-02-19
159,Available,Not Applicable,Not Applicable,
160,Available,Not Applicable,Not Applicable,
161,Available,Not Applicable,Not Applicable,
162,Taken,Edward Newton,Edward.Newton@lehigh.edu,2023-02-05
163,Available,Not Applicable,Not Applicable,
164,Available,Not Applicable,Not Applicable,
165,Available,Not Applicable,Not Applicable,
166,Available,Not Applicable,Not Applicable,
167,Available,Not Applicable,Not Applicable,
168,Available,Not Applicable,Not Applicable,
169,Available,Not Applicable,Not Applicable,
170,Taken,David Blake,David.Blake@lehigh.edu,2023-02-12
171,Taken,Tracy Wells,Tracy.Wells@lehigh.edu,2023-02-04
172,Available,Not Applicable,Not Applicable,
173,Available,Not Applicable,Not Applicable,
174,Available,Not Applicable,Not Applicable,
175,Available,Not Applicable,Not Applicable,
176,Taken,Janet Miller,Janet.Miller@lehigh.edu,2023-02-15
177,Available,Not Applicable,Not Applicable,
178,Taken,Bruce Grant,Bruce.Grant@lehigh.edu,2023-02-07
179,Available,Not Applicable,Not Applicable,
180,Taken,Calvin Gibson,Calvin.Gibson@lehigh.edu,2023-01-27
181,Taken,Jeffrey Smith,Jeffrey.Smith@lehigh.edu,2023-01-30
182,Taken,Angel Burke,Angel.Burke@lehigh.edu,2023-02-21
183,Taken,Luis Graves,Luis.Graves@lehigh.edu,2023-01-31
184,Taken,Robert White,Robert.White@lehigh.edu,2023-02-15
185,Available,Not Applicable,Not Applicable,
186,Available,Not Applicable,Not Applicable,
187,Taken,Sarah Reed,Sarah.Reed@lehigh.edu,2023-02-18
188,Available,Not Applicable,Not Applicable,
189,Taken,Jamie Dominguez,Jamie.Dominguez@lehigh.edu,2023-01-30
190,Available,Not Applicable,Not Applicable,
191,Taken,Kim Elliott,Kim.Elliott@lehigh.edu,2023-02-01
192,Taken,Bradley Conway,Bradley.Conway@lehigh.edu,2023-02-15
193,Taken,Charles Benson,Charles.Benson@lehigh.edu,2023-02-04
194,Available,Not Applicable,Not Applicable,
195,Taken,Kimberly Richard,Kimberly.Richard@lehigh.edu,2023-02-21
196,Taken,Blake Lamb,Blake.Lamb@lehigh.edu,2023-02-19
197,Taken,Colton Perry,Colton.Perry@lehigh.edu,2023-01-27
198,Taken,Robin Watson,Robin.Watson@lehigh.edu,2023-02-23
199,Taken,Kim Payne,Kim.Payne@lehigh.edu,2023-01-31
200,Taken,Barbara Gonzalez,Barbara.Gonzalez@lehigh.edu,2023-01-30
201,Taken,David Mendoza,David.Mendoza@lehigh.edu,2023-02-11
202,Taken,Jared Nelson,Jared.Nelson@lehigh.edu,2023-01-31
203,Taken,Stephen Barr,Stephen.Barr@lehigh.edu,2023-02-09
204,Taken,Shawn Vang,Shawn.Vang@lehigh.edu,2023-02-22
205,Taken,Martin Medina,Martin.Medina@lehigh.edu,2023-02-08
206,Taken,Kristina Lopez,Kristina.Lopez@lehigh.edu,2023-02-02
207,Taken,Michael Vasquez,Michael.Vasquez@lehigh.edu,2023-02-11
208,Available,Not Applicable,Not Applicable,
209,Available,Not Applicable,Not Applicable,
210,Taken,Hannah Freeman,Hannah.Freeman@lehigh.edu,2023-02-02
211,Taken,Autumn Sparks,Autumn.Sparks@lehigh.edu,2023-02-05
